Date,Price_A1,Price_A2,Price_A3,Price_A4,Price_A5,Price_A6,Price_A7,Price_A8,Price_A9,Price_A10
"Oct 01, 2021",3.8,173.94,55.14,176.01,5.47,143.32,53.86,167.13,289.1,137.05
"Oct 04, 2021",3.63,172.66,54.23,173.46,5.31,144.11,53.47,166.95,283.11,135.73
"Oct 05, 2021",3.64,174.76,54.69,174.61,5.46,143.15,53.95,168.66,288.76,136.62
"Oct 06, 2021",3.61,173.4,53.94,175.48,5.37,142.36,53.98,169.02,293.11,137.62
"Oct 07, 2021",3.75,174.29,55.02,177.71,5.31,141.81,54.18,170.09,294.85,139.24
"Oct 08, 2021",3.75,175.15,55.08,176.74,5.28,143.22,53.81,170.22,294.85,139.66
"Oct 11, 2021",3.63,173.46,54.93,173.52,5.43,142.43,53.44,166.64,294.23,139.53
"Oct 12, 2021",3.77,174.91,54.28,173.13,5.43,140.47,52.17,165.36,292.88,139.38
"Oct 13, 2021",3.63,168.72,54.62,172.96,5.61,140.76,52.26,161,296.31,138.37
"Oct 14, 2021",3.38,171.51,55.65,174.41,4.98,143.39,53.9,163.47,302.75,139.87
"Oct 15, 2021",3.38,175.81,55.25,176.46,4.63,144.61,54.46,166.61,304.21,140.55
"Oct 18, 2021",3.25,176.82,55.19,171.14,4.68,142.32,54.47,166.55,307.29,141.68
"Oct 19, 2021",3.41,177.31,55.74,171.18,5.07,141.98,55.21,168.57,308.23,144.69
"Oct 20, 2021",3.36,179.6,56.2,170.55,5.1,141.9,55.37,170.84,307.41,146
"Oct 21, 2021",3.37,177.47,55.69,171.34,5.07,128.33,56,169.5,310.76,146.81
"Oct 22, 2021",3.29,187.08,55.11,169.42,5,127.88,49.46,171.78,309.16,148.34
"Oct 25, 2021",3.26,182.31,55.14,172.01,4.95,127.64,49.41,170.94,308.13,150.06
"Oct 26, 2021",3.14,180.95,55.81,172.04,4.84,127.13,48.28,171.4,310.11,148.75
"Oct 27, 2021",3.03,178.03,56.18,169.55,4.62,125.17,47.89,167.83,323.17,147.53
"Oct 28, 2021",3.03,174.61,56.24,169.68,4.71,125.84,48.08,170.36,324.35,148.45
"Oct 29, 2021",3.01,173.78,55.97,169.07,4.53,125.1,49,169.89,331.62,149.42
"Nov 01, 2021",3.1,174.21,56.1,170.19,4.83,126.28,49.55,169.8,329.37,149.79
"Nov 02, 2021",3.06,173.17,57.62,169.83,4.65,126.18,49.86,170.47,333.13,149.72
"Nov 03, 2021",3.03,172.61,57.65,170.08,4.5,127.13,50.39,170.53,334,150.18
"Nov 04, 2021",3.19,172.53,57.12,170.28,4.38,120.85,50.31,168.29,336.44,151.28
"Nov 05, 2021",3.32,176.69,57.07,175.63,4.27,123.61,50.92,168.05,336.06,150.23
"Nov 08, 2021",3.36,180.05,57,176.87,4.92,124.54,51.55,169.06,336.99,149.27
"Nov 09, 2021",3.28,179.86,57.44,175.11,4.57,120.85,51.2,167.78,335.95,149.79
"Nov 10, 2021",3.69,181.39,57.77,174.45,4.37,120.22,50.76,167.62,330.8,148.44
"Nov 11, 2021",3.21,181.3,56.76,162.11,4.29,120.27,50.53,167.61,332.43,148.5
"Nov 12, 2021",3.09,181.89,56.82,159.63,4.59,118.96,50.31,166.86,336.72,147.76
"Nov 15, 2021",2.85,183.13,57.27,158.43,4.83,118.87,50.32,166.56,336.07,146.91
"Nov 16, 2021",2.85,180.92,57,158.83,4.59,118.46,50.61,165.36,339.51,143.17
"Nov 17, 2021",2.88,179.61,56.76,157.33,4.23,118.06,50.23,164.47,339.12,141.94
"Nov 18, 2021",2.68,176.21,53.63,155.58,4.04,116.66,49.68,163.05,341.27,143.16
"Nov 19, 2021",2.81,173.54,53.25,154,3.77,116.05,49.52,160.92,343.11,142.39
"Nov 22, 2021",2.77,170.9,54.6,154.16,3.74,116.47,49.83,164.35,339.83,144.78
"Nov 23, 2021",2.69,170.85,55.3,151.03,3.75,116.79,49.1,168.28,337.68,145.81
"Nov 24, 2021",2.77,171.61,55.54,151.34,3.78,116.73,49.76,166.96,337.91,146.54
"Nov 26, 2021",2.64,156.82,54.67,148.11,3.6,115.81,48.78,161.93,329.68,144.9
"Nov 29, 2021",2.7,157.86,55.76,147.81,3.3,118.5,50,161.23,336.63,142.63
"Nov 30, 2021",2.69,152.3,54.84,144.9,3.36,117.1,49.2,158.83,330.59,140.63
"Dec 01, 2021",2.6,150.06,55.03,142.15,3.12,116.92,48.6,157.89,330.08,137.14
"Dec 02, 2021",2.65,156.77,56.15,147.2,3.12,116.9,49.5,161.21,329.49,135.47
"Dec 03, 2021",2.57,155.94,56.23,146.22,3.1,118.84,49.25,158.29,323.01,137.51
"Dec 06, 2021",2.63,160.68,56.96,150.37,3.22,119.91,50.99,160.16,326.19,139
"Dec 07, 2021",2.86,166.95,58.08,150.81,3.49,121.58,52.57,162.57,334.92,138.55
"Dec 08, 2021",2.94,168.93,57.02,153.34,3.61,123.02,51.75,160.71,334.97,137.15
"Dec 09, 2021",2.79,168.02,57.55,152.94,3.37,123.57,50.48,160.46,333.1,138.5
"Dec 10, 2021",2.73,167.03,59.25,152.71,3.18,124.09,50.59,159.82,342.54,141.03
"Dec 13, 2021",2.58,163.3,58.61,150.43,3.11,122.58,50,157.92,339.4,143.57
"Dec 14, 2021",2.64,162.85,57.77,149.1,2.89,123.76,49.7,159.13,328.34,144.94
"Dec 15, 2021",2.72,162.24,59.93,150.4,2.74,123.11,50.67,157.94,334.65,145.77
"Dec 16, 2021",2.39,163,60.31,148.75,2.4,125.93,50.83,160.41,324.9,143.34
"Dec 17, 2021",2.31,160.01,60.46,148.76,2.65,127.4,50.62,156.76,323.8,138.75
"Dec 20, 2021",2.38,155.89,60.36,146.47,2.52,127.06,49.6,153.94,319.91,139.2
"Dec 21, 2021",2.42,160.91,61.03,151.05,2.59,128.97,50.77,156.09,327.29,139.62
"Dec 22, 2021",2.45,162.47,61.53,151.88,2.62,129.75,50.97,156.7,333.2,139.8
"Dec 23, 2021",2.35,164.19,62.28,153.63,2.79,130.63,51.31,157.26,334.69,139.49
"Dec 27, 2021",2.3,164.39,63.42,152.8,2.81,131.62,51.94,158.16,342.45,140.76
"Dec 28, 2021",2.32,164.41,63.53,155.2,2.71,132.63,51.76,158.64,341.25,142.78
"Dec 29, 2021",2.29,163.83,63.96,154.87,2.43,133.35,51.83,158.56,341.95,142.71
"Dec 30, 2021",2.43,164.16,63.62,155.93,2.47,133.91,51.74,158.48,339.32,143.17
"Dec 31, 2021",2.41,163.6,63.37,154.89,2.45,133.66,51.5,158.35,336.32,144.69